COD_IBGE,ENQUADRAMENTO_n,VALORBENEFÍCIO_mean,Abril,ValorAbril,Maio,ValorMaio,Junho,ValorJunho,Julho,ValorJulho
2613602,11429,71838.3060635226,11429,71.8383060635226,12176,71.2007227332457,9253,73.5588457797471,2061,63.4643377001456
2613701,35335,75246.6393094665,35335,75.2466393094665,40077,73.8228909349502,26592,78.4769855595668,10348,64.6849632779281
2613800,6659,68280.5226009911,6659,68.2805226009911,7070,67.8925035360679,5365,69.5731593662628,1206,62.6865671641791
2613909,27025,69895.282146161,27025,69.895282146161,30385,69.1327957873951,21365,70.966534051018,6858,64.8731408573928
2614006,7063,65734.1073198358,7063,65.7341073198358,7265,65.6490020646937,5848,66.6894664842681,918,61.9607843137255
2614105,12000,72410,12000,72.41,12583,71.978065644123,9720,74.4567901234568,1949,63.5094920472037
2614204,11963,73025.1609128145,11963,73.0251609128145,13356,72.1698113207547,9602,75.509268902312,2810,63.5231316725979
2614303,4774,69099.2878089652,4774,69.0992878089652,4903,68.9333061390985,4044,70.4005934718101,560,62.25
2614402,2097,64206.008583691,2097,64.206008583691,2117,64.081247047709,1641,64.8628884826325,249,61.4457831325301
2614501,22718,71327.5816533146,22718,71.3275816533146,24152,70.8860549850944,18424,72.9613547546678,4132,63.6592449177154
2614600,11153,69382.2289966825,11153,69.3822289966825,11602,69.1018789863817,9163,70.6537160318673,1750,62.9485714285714
2614709,5235,70979.9426934097,5235,70.9799426934097,5314,70.8731652239368,4493,72.3258401958602,543,62.6519337016575
2614808,7731,69879.7050834304,7731,69.8797050834304,8201,69.4598219729301,6426,71.3165266106443,1355,63.1439114391144
2614857,7915,73250.7896399242,7915,73.2507896399242,8848,72.3214285714286,6065,75.6108821104699,2008,65.6175298804781
2615003,9599,73376.3933743098,9599,73.3763933743098,10637,72.3249036382439,7113,75.858287642345,2630,64.8821292775665
2615102,2775,66616.2162162162,2775,66.6162162162162,2831,66.4853408689509,2287,67.3983384346305,344,62.7906976744186
2615201,3549,66069.3153000845,3549,66.0693153000845,3646,65.990126165661,2887,67.2324211984759,470,61.9148936170213
2615300,17356,68473.1504955059,17356,68.4731504955059,18721,68.0188024144009,12280,70.4071661237785,4244,63.2799245994345
2615409,15707,71433.1189915324,15707,71.4331189915324,18270,70.4367816091954,11447,73.2296671617018,5249,65.6696513621642
2615508,4840,75681.8181818182,4840,75.6818181818182,5216,74.9194785276074,3813,79.2761605035405,948,62.7848101265823
2615607,12052,71833.720544308,12052,71.833720544308,12755,71.3320266562132,9533,73.8592258470576,2167,63.7932625749885
2615706,5159,68117.8522969568,5159,68.1178522969568,5584,67.6181948424069,4001,69.7175706073482,1087,62.4839006439742
2615805,8459,69731.6467667573,8459,69.7316467667573,8722,69.5138729649163,7697,70.4690139015201,780,62.8461538461538
2615904,3535,67009.900990099,3535,67.009900990099,3672,66.8627450980392,2794,67.8811739441661,555,62.7027027027027
2616001,7004,70519.7030268418,7004,70.5197030268418,7284,70.0988467874794,5332,72.7156789197299,1294,63.2457496136012
2616100,3115,66548.9566613162,3115,66.5489566613162,3283,66.4331404203472,2439,67.3554735547356,540,63.4444444444444
2616183,3292,70443.4993924666,3292,70.4434993924666,3385,70.4579025110783,2672,72.3502994011976,476,63.0252100840336
2616209,7661,70126.6153243702,7661,70.1266153243702,8327,69.5112285336856,5691,72.1665788086452,1943,63.6438497169326
2616308,9272,69687.2303710095,9272,69.6872303710095,9942,69.2818346409173,7113,71.8937157317588,1926,62.9595015576324
2616407,49915,74889.7125112692,49915,74.8897125112692,54214,73.9303500940716,38306,77.8797055291599,11080,63.9693140794224
2616506,5018,76452.7700278996,5018,76.4527700278996,5283,75.7751277683135,3883,79.6549060005151,898,64.8106904231626
2700102,6827,67848.2495971876,6827,67.8482495971876,7229,67.5612117858625,5638,69.0564029797801,1126,61.9182948490231
2700201,5288,74965.9606656581,5288,74.9659606656581,5732,73.9427773900907,4403,77.0474676357029,994,63.6217303822938
2700300,65518,72896.9138252083,65518,72.8969138252083,80139,71.3368023059933,49843,74.7956583672732,25501,65.4962550488216
2700409,14765,76758.5506264815,14765,76.7585506264816,15819,75.820216195714,12341,79.3841665991411,2578,63.3979829325058
2700508,6615,79210.8843537415,6615,79.2108843537415,7075,78.1992932862191,5535,81.7235772357724,1151,64.9000868809731
2700607,2828,75827.4398868458,2828,75.8274398868458,3264,74.2647058823529,2221,78.5862224223323,830,65.710843373494
2700706,6740,69988.1305637982,6740,69.9881305637982,7125,69.5831578947368,5676,71.046511627907,1123,64.2742653606411
2700805,2062,67652.7643064985,2062,67.6527643064985,2212,67.4050632911392,1602,68.8389513108614,433,63.8799076212471
2700904,2817,64323.7486687966,2817,64.3237486687966,2915,64.5077186963979,2492,64.3820224719101,318,64.5283018867924
2701001,7711,76908.3127998963,7711,76.9083127998963,8610,75.4355400696864,6352,79.2978589420655,1724,64.4547563805104
2701100,3833,80380.9026871902,3833,80.3809026871902,4125,79.2,2938,84.6289993192648,797,65.9473023839398
2701209,4047,69607.1163825056,4047,69.6071163825056,4263,69.3596059113301,3501,70.6083976006855,601,63.9933444259567
2701308,6421,78361.6259149665,6421,78.3616259149665,6938,77.2009224560392,5458,81.051667277391,1080,63
2701357,2377,79991.5860328145,2377,79.9915860328145,2537,78.8017343318881,2010,82.7164179104478,373,63.5388739946381
2701407,11478,77982.2268687925,11478,77.9822268687925,12598,76.7693284648357,9232,81.0441941074523,2379,65.3467843631778
2701506,4169,70002.3986567522,4169,70.0023986567522,4340,69.6774193548387,3839,70.5965095076843,370,62.4324324324324
2701605,8232,67543.7317784257,8232,67.5437317784257,8442,67.4342572850036,7345,68.070796460177,708,63.3050847457627
2701704,4955,73646.8213925328,4955,73.6468213925328,5372,72.7215189873418,3978,75.8220211161388,1011,64.6290801186944
2701803,3465,73142.8571428571,3465,73.1428571428571,3643,72.6159758440845,2944,74.7350543478261,583,63.4991423670669
2701902,2426,72539.1591096455,2426,72.5391591096455,2549,71.9811690859161,2102,73.9010466222645,324,62.7777777777778
2702009,3903,67594.1583397387,3903,67.5941583397387,4223,67.3596968979399,3178,68.6469477658905,807,63.4200743494424
2702108,6874,77884.7832411987,6874,77.8847832411987,7308,77.0443349753695,5803,80.430811649147,1058,63.6862003780718
2702207,1893,70871.6323296355,1893,70.8716323296355,2061,70.509461426492,1419,73.3615221987315,456,65.5263157894737
2702306,14614,75264.8145613795,14614,75.2648145613795,17095,73.9023106171395,11579,77.1724673978755,4444,67.2772277227723
2702355,9073,68028.2155847019,9073,68.0282155847019,9721,67.7522888591709,7726,68.7522650789542,1499,64.1227484989993
2702405,16374,73367.5338951997,16374,73.3675338951997,18678,72.1908127208481,13033,74.8929640144249,4757,66.2560437250368
2702504,3800,72142.1052631579,3800,72.1421052631579,4084,71.5768854064643,3205,73.6661466458658,617,64.0842787682334
2702553,6283,65223.619290148,6283,65.223619290148,6515,65.2125863392172,5093,65.8433143530336,944,63.8135593220339
2702603,8955,68435.5108877722,8955,68.4355108877722,9385,68.2280234416622,7841,69.174850146665,1148,63.6585365853659
2702702,1408,75042.6136363636,1408,75.0426136363636,1565,74.0702875399361,1185,77.7721518987342,343,62.9737609329446
2702801,4339,76510.7167550127,4339,76.5107167550127,4594,75.7248585111014,3399,80.3706972639012,778,62.6992287917738
2702900,12900,67074.4186046512,12900,67.0744186046512,13879,66.8002017436415,11177,67.5315379797799,2091,63.6441893830703
2703007,5219,74589.0017244683,5219,74.5890017244683,5574,73.8428417653391,4308,77.0055710306407,974,63.0800821355236
2703106,10145,66517.4963035978,10145,66.5174963035978,10631,66.3662872730693,8875,67.0107042253521,1346,63.3878157503715
2703205,8113,69355.35560212,8113,69.3553556021201,8758,68.8718885590317,6548,70.8032987171655,1537,63.7475601821731
2703304,6447,68078.1758957655,6447,68.0781758957655,6834,67.8402107111501,5456,68.5447214076246,966,65.527950310559
2703403,2255,68434.5898004435,2255,68.4345898004435,2405,68.2577962577963,1967,69.0899847483477,339,64.070796460177
2703502,2288,74344.4055944056,2288,74.3444055944056,2444,73.7479541734861,1773,77.6988155668359,439,63.4168564920273
2703601,3323,78543.484802889,3323,78.543484802889,3545,77.5853314527504,2730,81.6923076923077,623,64.0449438202247
2703700,2102,66479.5432921028,2102,66.4795432921027,2219,66.1919783686345,1855,66.921832884097,316,63.2278481012658
